Date,Close/Last,Volume,Open,High,Low
05/04/2023,$178.27,625618,$177.64,$179.17,$176.175
05/03/2023,$177.80,676621,$179.52,$180.47,$177.53
05/02/2023,$178.25,896303,$180.69,$181.4693,$175.46
05/01/2023,$181.67,672543,$180.80,$182.25,$180.05
04/28/2023,$180.37,1095382,$178.85,$182.97,$177.33
04/27/2023,$177.65,1575704,$174.53,$177.94,$174.11
04/26/2023,$171.06,1164884,$170.89,$173.455,$170.16
04/25/2023,$171.59,587916,$172.39,$172.70,$170.895
04/24/2023,$173.08,1177459,$173.50,$173.675,$171.41
04/21/2023,$173.33,423658,$174.12,$174.12,$171.12
04/20/2023,$173.23,707021,$174.88,$175.46,$172.2401
04/19/2023,$175.26,737044,$172.35,$175.34,$172.35
04/18/2023,$173.32,921679,$173.67,$174.69,$172.97
04/17/2023,$174.02,1425650,$170.18,$174.03,$169.85
04/14/2023,$169.86,836100,$170.49,$171.44,$168.13
04/13/2023,$170.07,857231,$170.17,$171.17,$168.16
04/12/2023,$170.09,1056680,$171.87,$173.36,$169.81
04/11/2023,$170.30,867631,$168.42,$171.615,$168.31
04/10/2023,$168.62,842029,$168.00,$168.88,$166.635
04/06/2023,$168.19,544583,$167.72,$168.21,$165.60
04/05/2023,$166.32,1099927,$165.93,$167.61,$165.60
04/04/2023,$166.29,1206241,$167.62,$168.17,$164.18
04/03/2023,$167.08,1225028,$168.26,$170.33,$166.60
03/31/2023,$168.06,1381432,$164.17,$168.28,$164.17
03/30/2023,$163.26,520667,$162.52,$163.90,$162.27
03/29/2023,$162.20,814555,$160.09,$162.45,$159.57
03/28/2023,$157.32,805300,$157.19,$159.38,$156.535
03/27/2023,$158.61,803100,$158.77,$160.23,$158.30
03/24/2023,$157.73,679908,$153.20,$157.79,$153.07
03/23/2023,$154.07,735239,$156.07,$157.76,$154.03
03/22/2023,$155.79,847528,$159.49,$160.55,$155.61
03/21/2023,$161.08,879576,$163.46,$164.00,$159.31
03/20/2023,$162.66,709882,$161.61,$163.025,$160.31
03/17/2023,$161.51,1099324,$165.34,$165.72,$161.2396
03/16/2023,$165.46,930707,$169.04,$169.04,$164.28
03/15/2023,$169.93,727308,$168.91,$171.009,$166.84
03/14/2023,$170.21,1218660,$170.93,$171.99,$168.71
03/13/2023,$168.38,874595,$165.00,$170.02,$164.45
03/10/2023,$165.53,1079047,$171.00,$172.12,$163.68
03/09/2023,$170.98,1030492,$173.95,$174.69,$170.865
03/08/2023,$173.70,550288,$170.57,$174.83,$170.57
03/07/2023,$170.75,676632,$174.61,$174.715,$170.34
03/06/2023,$174.70,539984,$173.94,$175.22,$173.40
03/03/2023,$172.68,759160,$171.00,$173.63,$170.72
03/02/2023,$169.69,697365,$167.03,$170.21,$166.37
03/01/2023,$168.21,614362,$171.07,$172.05,$166.47
02/28/2023,$172.52,945496,$173.05,$175.23,$172.41
02/27/2023,$173.24,623564,$176.96,$177.27,$172.54
02/24/2023,$175.00,737280,$175.61,$176.355,$173.83
02/23/2023,$177.83,577454,$177.43,$178.93,$175.705
02/22/2023,$176.58,732607,$176.73,$178.02,$175.58
02/21/2023,$175.86,746818,$179.02,$179.02,$175.12
02/17/2023,$179.27,2510020,$180.12,$180.12,$176.43
02/16/2023,$180.12,766921,$178.92,$182.56,$178.11
02/15/2023,$181.14,621528,$179.15,$181.16,$178.55
02/14/2023,$180.08,990499,$181.12,$182.49,$179.015
02/13/2023,$181.19,1215543,$180.42,$182.99,$180.41
02/10/2023,$180.28,793764,$179.68,$180.64,$177.9333
02/09/2023,$180.37,881444,$184.47,$184.57,$178.82
02/08/2023,$181.60,1064666,$178.36,$182.41,$178.09
02/07/2023,$179.71,652151,$177.23,$180.76,$176.49
02/06/2023,$178.79,750562,$178.35,$179.47,$177.04
02/03/2023,$180.25,936475,$181.00,$181.315,$178.30
02/02/2023,$184.50,1058850,$180.00,$185.78,$179.795
02/01/2023,$178.02,762839,$176.38,$178.92,$174.70
01/31/2023,$177.44,1746583,$173.10,$177.44,$173.07
01/30/2023,$173.27,554495,$176.16,$177.425,$173.16
01/27/2023,$177.52,835630,$173.33,$178.55,$173.33
01/26/2023,$173.45,681854,$174.07,$175.76,$172.96
01/25/2023,$173.36,802115,$172.86,$174.165,$172.175
01/24/2023,$173.09,454345,$171.69,$173.83,$169.885
01/23/2023,$170.36,715883,$171.39,$171.95,$169.61
01/20/2023,$170.35,1568378,$168.73,$170.57,$166.96
01/19/2023,$168.70,879484,$167.89,$170.702,$167.6337
01/18/2023,$168.65,1061054,$170.31,$170.92,$167.24
01/17/2023,$170.01,736211,$169.48,$171.455,$168.34
01/13/2023,$167.85,555004,$168.33,$169.85,$166.90
01/12/2023,$170.27,650856,$170.88,$171.42,$168.52
01/11/2023,$169.88,764188,$164.46,$170.21,$164.27
01/10/2023,$162.99,661323,$162.02,$163.57,$161.64
01/09/2023,$162.47,1787280,$163.19,$165.04,$161.66
01/06/2023,$163.63,586457,$158.29,$164.08,$158.01
01/05/2023,$157.98,890106,$162.62,$163.18,$157.69
01/04/2023,$164.32,539808,$161.90,$165.71,$161.365
01/03/2023,$161.50,646025,$162.30,$163.69,$159.56
12/30/2022,$161.52,613082,$161.84,$162.37,$159.56
12/29/2022,$162.65,839913,$160.99,$163.12,$159.75
12/28/2022,$161.08,420863,$163.21,$164.015,$160.575
12/27/2022,$162.80,455981,$163.45,$163.75,$161.37
12/23/2022,$163.03,396380,$161.83,$163.12,$160.45
12/22/2022,$161.85,650339,$161.24,$162.59,$159.49
12/21/2022,$162.37,718998,$162.71,$163.8587,$161.38
12/20/2022,$161.21,642858,$161.50,$161.82,$159.69
12/19/2022,$162.22,783887,$164.80,$164.80,$160.40
12/16/2022,$165.00,2021845,$165.83,$166.87,$162.05
12/15/2022,$168.79,1083458,$170.08,$171.36,$167.90
12/14/2022,$172.08,715984,$173.72,$175.35,$170.80
12/13/2022,$173.40,791362,$176.53,$176.761,$171.17
12/12/2022,$171.55,680930,$169.18,$171.56,$166.91
12/09/2022,$169.58,483744,$169.34,$171.28,$169.18
12/08/2022,$169.60,666829,$167.31,$171.33,$167.23
12/07/2022,$167.97,1021672,$166.60,$170.21,$166.60
12/06/2022,$166.89,599040,$171.07,$171.08,$166.119
12/05/2022,$170.30,919057,$170.95,$172.615,$169.62
12/02/2022,$172.57,734533,$170.85,$173.08,$170.59
12/01/2022,$174.18,706175,$176.48,$177.675,$172.38
11/30/2022,$174.90,1176259,$169.70,$174.97,$168.65
11/29/2022,$170.79,707778,$167.81,$171.07,$167.33
11/28/2022,$168.07,1788230,$169.38,$172.05,$167.64
11/25/2022,$170.06,220012,$169.24,$170.24,$169.115
11/23/2022,$168.52,559726,$168.22,$169.91,$166.94
11/22/2022,$168.90,478270,$169.50,$169.64,$167.90
11/21/2022,$168.69,813804,$168.68,$171.45,$167.50
11/18/2022,$169.19,1210768,$167.39,$169.56,$166.9501
11/17/2022,$165.13,612679,$163.83,$166.31,$163.44
11/16/2022,$166.08,754793,$168.64,$169.775,$166.00
11/15/2022,$168.97,1070708,$168.61,$169.60,$166.70
11/14/2022,$166.40,1711601,$166.94,$170.50,$165.72
11/11/2022,$167.11,753217,$171.51,$172.03,$166.875
11/10/2022,$171.82,1099511,$165.69,$171.96,$165.50
11/09/2022,$158.98,1011864,$161.14,$161.96,$158.35
11/08/2022,$161.05,907206,$163.20,$163.285,$160.00
11/07/2022,$162.02,1349150,$164.45,$167.28,$160.70
11/04/2022,$167.29,1839545,$164.44,$168.42,$160.625
11/03/2022,$170.10,847750,$169.84,$172.18,$166.47
11/02/2022,$171.18,958538,$174.46,$176.56,$171.10
11/01/2022,$175.29,741807,$176.27,$177.595,$174.84
10/31/2022,$175.12,937895,$174.50,$176.32,$173.64
10/28/2022,$175.60,1123947,$171.12,$175.905,$170.30
10/27/2022,$172.34,1173191,$175.39,$176.873,$170.95
10/26/2022,$174.56,1078019,$178.50,$179.74,$173.71
10/25/2022,$178.80,617754,$174.22,$178.88,$174.195
10/24/2022,$173.20,837921,$176.10,$177.2285,$172.7425
10/21/2022,$174.89,663711,$172.46,$174.99,$170.15
10/20/2022,$172.03,1038615,$174.07,$175.65,$171.88
10/19/2022,$173.35,572328,$175.47,$176.31,$171.59
10/18/2022,$177.76,596455,$178.09,$180.8448,$176.02
10/17/2022,$175.38,1001471,$172.97,$175.81,$172.05
10/14/2022,$169.58,711856,$178.11,$178.6408,$169.39
10/13/2022,$175.87,748736,$169.20,$176.4098,$168.05
10/12/2022,$171.67,835366,$174.39,$174.39,$170.755
10/11/2022,$174.71,652239,$171.17,$175.23,$169.88
10/10/2022,$170.86,650165,$173.28,$173.66,$170.76
10/07/2022,$172.28,728733,$175.95,$176.82,$171.01
10/06/2022,$177.63,679382,$182.16,$182.69,$177.12
10/05/2022,$182.51,626767,$185.47,$185.77,$180.20
10/04/2022,$188.16,791613,$187.54,$189.81,$185.64
10/03/2022,$186.62,612445,$186.64,$187.48,$184.18
09/30/2022,$184.19,1123415,$183.26,$185.41,$181.56
09/29/2022,$181.50,694149,$183.00,$184.175,$180.005
09/28/2022,$186.41,710056,$183.88,$187.14,$181.6701
09/27/2022,$181.80,757077,$185.52,$186.19,$181.43
09/26/2022,$184.19,749148,$187.93,$187.93,$182.30
09/23/2022,$188.82,703309,$186.47,$191.90,$186.21
09/22/2022,$188.48,787570,$188.89,$189.56,$186.67
09/21/2022,$188.97,652994,$194.48,$195.03,$188.955
09/20/2022,$192.88,839060,$197.80,$197.80,$190.85
09/19/2022,$199.63,627036,$199.84,$200.00,$195.52
09/16/2022,$201.98,1654108,$201.81,$202.36,$198.63
09/15/2022,$201.32,433958,$205.08,$205.34,$201.22
09/14/2022,$205.08,644890,$207.03,$207.45,$202.34
09/13/2022,$207.85,730930,$210.68,$211.84,$207.26
09/12/2022,$214.22,793220,$215.26,$216.11,$213.75
09/09/2022,$214.46,557107,$212.22,$215.55,$210.46
09/08/2022,$211.83,358196,$209.29,$212.45,$209.16
09/07/2022,$210.45,557990,$207.21,$210.64,$207.21
09/06/2022,$207.13,536952,$203.90,$207.55,$203.55
09/02/2022,$202.51,689206,$204.54,$207.12,$202.20
09/01/2022,$203.96,711740,$199.92,$204.155,$197.80
08/31/2022,$200.91,1108428,$204.65,$205.48,$200.65
08/30/2022,$203.11,748700,$206.01,$206.90,$202.27
08/29/2022,$205.68,585140,$208.61,$208.61,$205.49
08/26/2022,$209.32,691972,$213.39,$214.95,$209.02
08/25/2022,$213.39,589115,$211.33,$213.52,$210.13
08/24/2022,$209.97,739291,$207.27,$210.42,$206.70
08/23/2022,$206.67,422268,$210.24,$210.24,$205.23
08/22/2022,$210.33,452519,$213.67,$214.00,$206.21
08/19/2022,$214.98,574579,$215.85,$216.21,$213.9722
08/18/2022,$216.52,475300,$220.01,$220.25,$215.435
08/17/2022,$220.22,406510,$217.68,$220.42,$217.185
08/16/2022,$219.24,292021,$217.45,$220.325,$217.45
08/15/2022,$218.38,310541,$218.37,$219.704,$216.25
08/12/2022,$218.16,343653,$216.56,$218.385,$216.11
08/11/2022,$215.08,663268,$214.99,$218.06,$214.60
08/10/2022,$213.72,464364,$212.95,$214.52,$211.29
08/09/2022,$210.42,538899,$207.26,$211.04,$206.49
08/08/2022,$206.44,352109,$206.47,$208.435,$205.46
08/05/2022,$204.91,431245,$202.98,$205.07,$201.38
08/04/2022,$203.80,716064,$201.63,$204.04,$199.59
08/03/2022,$202.05,961143,$205.51,$207.38,$201.22
08/02/2022,$204.58,910930,$207.64,$209.78,$203.71
08/01/2022,$207.77,837168,$213.70,$213.70,$207.235
07/29/2022,$213.94,890147,$212.93,$215.63,$211.695
07/28/2022,$212.24,1618952,$202.97,$213.85,$202.67
07/27/2022,$202.09,818740,$197.66,$202.39,$197.66
07/26/2022,$197.54,488541,$197.47,$199.2058,$196.45
07/25/2022,$197.54,619857,$197.78,$200.03,$197.015
07/22/2022,$198.25,472360,$196.94,$199.52,$196.01
07/21/2022,$196.05,573762,$194.35,$196.2075,$193.03
07/20/2022,$194.63,451239,$194.91,$197.10,$193.6259
07/19/2022,$195.46,425595,$192.86,$195.80,$191.75
07/18/2022,$191.24,542408,$193.54,$193.545,$190.43
07/15/2022,$192.79,563422,$192.17,$193.65,$190.30
07/14/2022,$189.14,559850,$187.11,$190.315,$187.11
07/13/2022,$190.55,484550,$189.76,$191.45,$187.227
07/12/2022,$191.34,614784,$189.03,$193.31,$189.03
07/11/2022,$190.55,611851,$189.80,$191.38,$189.32
07/08/2022,$190.56,749768,$192.19,$192.82,$189.54
07/07/2022,$192.59,1231346,$194.65,$195.49,$191.895
07/06/2022,$194.02,600467,$195.12,$196.81,$192.905
07/05/2022,$194.21,852169,$195.11,$195.11,$188.71
07/01/2022,$196.25,996589,$193.97,$196.74,$192.79
06/30/2022,$194.25,867535,$193.43,$197.52,$191.93
06/29/2022,$195.08,386632,$194.90,$195.56,$193.55
06/28/2022,$197.06,469984,$199.09,$202.12,$196.60
06/27/2022,$198.77,1126491,$194.43,$201.71,$194.03
06/24/2022,$195.15,1164260,$196.58,$197.01,$194.26
06/23/2022,$196.49,678253,$192.36,$196.76,$192.36
06/22/2022,$191.89,693452,$190.11,$194.45,$189.43
06/21/2022,$191.40,1087877,$191.74,$196.24,$191.19
06/17/2022,$190.99,2294398,$186.86,$191.98,$186.84
06/16/2022,$186.39,683559,$183.85,$187.21,$183.35
06/15/2022,$187.58,628486,$186.81,$190.23,$185.36
06/14/2022,$185.19,969256,$187.53,$188.90,$184.26
06/13/2022,$186.76,1087767,$190.88,$192.03,$185.81
06/10/2022,$194.44,870097,$192.74,$196.39,$190.85
06/09/2022,$194.87,635778,$199.91,$200.39,$194.69
06/08/2022,$200.49,719726,$202.91,$204.32,$198.615
06/07/2022,$204.85,577580,$200.00,$205.07,$198.84
06/06/2022,$200.80,750461,$206.39,$206.39,$199.74
06/03/2022,$205.02,683161,$207.69,$208.28,$204.75
06/02/2022,$208.97,609335,$207.60,$209.28,$204.29
06/01/2022,$207.57,538282,$208.23,$208.85,$203.15
05/31/2022,$207.96,1272625,$209.07,$209.56,$206.495
05/27/2022,$210.91,702282,$206.29,$211.32,$205.47
05/26/2022,$205.45,625938,$206.19,$207.38,$205.18
05/25/2022,$204.94,578435,$203.89,$205.62,$202.48
05/24/2022,$205.01,490200,$204.02,$205.51,$200.17
05/23/2022,$204.19,576680,$203.16,$204.6006,$199.09
05/20/2022,$200.95,846640,$201.34,$201.55,$197.8916
05/19/2022,$199.36,712108,$199.84,$201.77,$197.615
05/18/2022,$201.56,838299,$207.65,$208.76,$200.68
05/17/2022,$207.84,1032226,$206.79,$207.93,$203.375
05/16/2022,$204.85,568601,$207.62,$208.5445,$204.59
05/13/2022,$207.21,692916,$205.62,$207.51,$203.776
05/12/2022,$204.09,1103433,$203.50,$204.99,$202.035
05/11/2022,$203.48,1036987,$200.88,$206.86,$200.59
05/10/2022,$200.09,1098093,$205.30,$206.43,$199.00
05/09/2022,$203.72,1140047,$211.00,$211.00,$202.405
05/06/2022,$212.43,1167399,$214.27,$215.11,$209.57
05/05/2022,$216.72,1107940,$222.63,$223.09,$214.33
05/04/2022,$222.48,855466,$222.42,$223.03,$215.55
05/03/2022,$222.44,851855,$222.15,$224.11,$219.86
05/02/2022,$221.15,1363174,$228.48,$229.69,$216.97
04/29/2022,$227.48,1427120,$237.35,$238.62,$226.89
04/28/2022,$239.50,694259,$238.93,$241.795,$236.50
04/27/2022,$240.78,620303,$244.20,$245.85,$240.54
04/26/2022,$244.35,783491,$248.04,$250.31,$243.96
04/25/2022,$248.42,951244,$250.98,$250.98,$246.02
04/22/2022,$250.85,874765,$256.17,$256.17,$250.69
